CORTICOSTERONE	HMDB01547
ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA	HMDB03208
CPD-3187	HMDB01329
GTP	HMDB01273
D-RIBULOSE	HMDB00621
CPD0-2117	HMDB03945
XYLULOSE-5-PHOSPHATE	HMDB00868
IMINOASPARTATE	HMDB01131
D-6-P-GLUCONO-DELTA-LACTONE	HMDB01127
AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE	HMDB31398
CPD-7671	HMDB03227
3-7-DIMETHYLXANTHINE	HMDB02825
CPD-7496	HMDB35776
CPD-3946	HMDB12112
1-L-MYO-INOSITOL-1-P	HMDB06814
CPD-3190	HMDB01267
CPD-4576	HMDB12167
APIGENIN-7-O-NEOHESPERIDOSIDE	HMDB38848
CPD-7090	HMDB03074
UDP-L-ARABINOSE	HMDB12303
CPD-10806	HMDB04362
CPD-674	HMDB00930
CPD-603	HMDB60245
CPD-202	HMDB01374
CPD-1003	HMDB02214
PHE	HMDB00159
CPD-4186	HMDB01170
CPD-13218	HMDB31607
CPD-709	HMDB12116
HOMO-CYS	HMDB00742
ENT-KAUR-16-EN-19-AL	HMDB36728
CPD-882	HMDB06216
ACETYL-GLU	HMDB01138
23-DIPHOSPHOGLYCERATE	HMDB01294
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	HMDB02022
CPD-10267	HMDB06404
DGMP	HMDB01044
2-METHYL-3-HYDROXY-BUTYRYL-COA	HMDB01356
2-KETO-3-DEOXY-6-P-GLUCONATE	HMDB01376
CPD-260	HMDB59608
5734-TETRAHYDROXYFLAVONE	HMDB05800
COUMARALDEHYDE	HMDB40986
CPD-4441	HMDB12204
CPD-10797	HMDB01713
4-METHYLBENZYL-ALCOHOL	HMDB41609
1236-TETRAKIS-O-GALLOYL-BETA-D-GLUCOS	HMDB39188
CPD-10586	HMDB12455
CPD-4578	HMDB06838
CPD-10588	HMDB60306
CPD-7000	HMDB31243
RIBULOSE-5P	HMDB00618
IMIDAZOLE_ACETALDEHYDE	HMDB03905
APS	HMDB01003
ISOVALERYL-COA	HMDB01113
CPD-3061	HMDB29519
11-DEOXYCORTICOSTERONE	HMDB00016
CPD-14499	HMDB02360
CPD-11830	HMDB11714
RIBOSE-1P	HMDB01489
CPDQT-426	HMDB29839
3-SULFINOALANINE	HMDB60179
CPD-233	HMDB12114
CPD-510	HMDB03976
HYDROGEN-PEROXIDE	HMDB03125
DGTP	HMDB01440
ADP-D-GLUCOSE	HMDB06557
3-OXOPALMITOYL-COA	HMDB06402
CPD-663	HMDB12300
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	HMDB12289
CPD-10329	HMDB00174
CPD-13323	HMDB13809
N-ALPHA-ACETYLORNITHINE	HMDB03357
CPD-1103	HMDB30704
TRYPTAMINE	HMDB00303
PAPS	HMDB01134
CPD-7172	HMDB14613
L-ARGININO-SUCCINATE	HMDB00052
GUANOSINE	HMDB00133
CPD-7257	HMDB06891
CPD-6442	HMDB34172
CPD-9777	HMDB06406
CREATINE-P	HMDB01511
SARCOSINE	HMDB00271
CPD-173	HMDB59709
CPD-9635	HMDB30463
CPD-122	HMDB00703
2-TRANS6-TRANS-FARNESAL	HMDB60356
GLC	HMDB00516
ACET	HMDB00042
METHYL-GLYOXAL	HMDB01167
TRANS-3-METHYL-GLUTACONYL-COA	HMDB01057
D-CARNITINE	HMDB00062
S-NITROSOGLUTATHIONE	HMDB04645
CPD-10546	HMDB29738
CPD-15838	HMDB12958
TARTRATE	HMDB00956
CPD-9298	HMDB34323
CPD-12489	HMDB01970
CPD-9245	HMDB03229
574-TRIHYDROXY-3-METHOXYFLAVONE	HMDB30667
4-TOLUENESULFONATE	HMDB59933
CPD-261	HMDB36087
CYCLOHEXANONE	HMDB03315
CPD-10640	HMDB60503
CPD-4577	HMDB06927
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	HMDB01308
CPD-4891	HMDB36559
CPD-293	HMDB03759
HOMO-CIT	HMDB03518
NITROUS-OXIDE	HMDB35807
4-METHYLPENTANAL	HMDB01318
PROTOPORPHYRINOGEN	HMDB01097
CPD-7235	HMDB00761
MELIBIOSE	HMDB00048
DEOXY-RIBOSE-5P	HMDB01031
1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN	HMDB04826
CPD-7275	HMDB06890
CPD-12022	HMDB04259
CPD-10505	HMDB60307
URIDINE	HMDB00296
CPD-8611	HMDB12171
5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL	HMDB06842
R-2-HYDROXYGLUTARATE	HMDB00606
O-ACETYLCARNITINE	HMDB00201
345-TRIHYDROXY-37-DIMETHOXYFLAVONE	HMDB29263
GALACTOSE-1P	HMDB00645
CPD-4125	HMDB06851
CPD-16722	HMDB04062
CPD1F-437	HMDB37362
CPD-8614	HMDB12174
TOLUENE	HMDB34168
CPD-7650	HMDB00022
GLYCEROL-3P	HMDB00126
CPD-1803	HMDB00785
